STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_ BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE
West Bengal,Purulia,PMGSY-III,5,31.514,0,22.95155,0,13.75,0,8.5084,5,17.764,0
West Bengal,Siliguri M.P.,PMGSY-I,94,354.167,1,121.07113,94,352.332,1,110.1007,0,0,0
West Bengal,Siliguri M.P.,PMGSY-II,8,35.022,0,24.46831,8,34.852,0,19.3307,0,0,0
West Bengal,Siliguri M.P.,PMGSY-III,2,9.616,0,6.82129,0,1.5,0,0.9399,2,8.116,0
West Bengal,South 24-Parganas,PMGSY-I,312,1603.63,0,838.973,311,1559.633,0,801.9623,1,1.2,0
West Bengal,South 24-Parganas,PMGSY-II,29,171.764,0,148.82442,28,168.665,0,135.4027,1,2.85,0
West Bengal,South 24-Parganas,PMGSY-III,8,38.055,0,30.06976,0,13.8,0,14.2171,8,24.255,0
West Bengal,Uttardinajpur,PMGSY-I,351,1463.526,4,662.19252,351,1437.278,4,580.5011,0,0,0
West Bengal,Uttardinajpur,PMGSY-II,10,81.437,0,68.09995,10,78.597,0,60.6663,0,0,0
West Bengal,Uttardinajpur,PMGSY-III,8,39.125,0,26.2848,2,20.745,0,9.1326,6,18.38,0
